full_name,age,season,position,Current_Club,minutes_played_overall,minutes_played_home,minutes_played_away,goals_overall,goals_home,goals_away,goals_per_90_overall,goals_per_90_home,goals_per_90_away
Arthur Masuaku,28,2018/2019,Defender,West Ham United,1756,822,934,0,0,0,0,0,0
Artur Boruc,42,2018/2019,Goalkeeper,AFC Bournemouth,1080,540,540,0,0,0,0,0,0
Ashley Barnes,32,2018/2019,Forward,Burnley,2400,1307,1093,12,6,6,0.45,0.41,0.49
Ashley Westwood,32,2018/2019,Midfielder,Burnley,2822,1530,1292,2,0,2,0.06,0,0.14
Ashley Young,37,2018/2019,Midfielder,Manchester United,2568,1207,1361,2,1,1,0.07,0.07,0.07
Asmir Begović,35,2018/2019,Goalkeeper,AFC Bournemouth,2160,1080,1080,0,0,0,0,0,0
Aymeric Laporte,28,2018/2019,Defender,Manchester City,3057,1526,1531,3,0,3,0.09,0,0.18
Ayoze Perez,29,2018/2019,Forward,Newcastle United,2929,1526,1403,12,9,3,0.37,0.53,0.19
Bakary Sako,34,2018/2019,Midfielder,Crystal Palace,25,8,17,0,0,0,0,0,0
Ben Chilwell,25,2018/2019,Defender,Leicester City,3240,1620,1620,0,0,0,0,0,0
Ben Davies,29,2018/2019,Defender,Tottenham Hotspur,1839,916,923,0,0,0,0,0,0
Ben Foster,39,2018/2019,Goalkeeper,Watford,3420,1710,1710,0,0,0,0,0,0
Ben Gibson,29,2018/2019,Defender,Burnley,63,63,0,1,1,0,1.43,1.43,0
Ben Hamer,34,2018/2019,Goalkeeper,Huddersfield Town,553,283,270,0,0,0,0,0,0
Ben Johnson,22,2018/2019,Forward,West Ham United,63,0,63,0,0,0,0,0,0
Ben Mee,33,2018/2019,Defender,Burnley,3420,1710,1710,0,0,0,0,0,0
Ben White,25,2018/2019,Defender,Brighton & Hove Albion,0,0,0,0,0,0,0,0,0
Ben Wilmot,23,2018/2019,Defender,Watford,26,0,26,0,0,0,0,0,0
Benjamin Mendy,28,2018/2019,Defender,Manchester City,900,450,450,0,0,0,0,0,0
Beram Kayal,34,2018/2019,Midfielder,Brighton & Hove Albion,934,494,440,1,0,1,0.1,0,0.2
Bernard Anício Caldeira Duarte,30,2018/2019,Midfielder,Everton,2128,960,1168,1,0,1,0.04,0,0.08
