full_name,age,season,position,Current_Club,minutes_played_overall,minutes_played_home,minutes_played_away,goals_overall,goals_home,goals_away,goals_per_90_overall,goals_per_90_home,goals_per_90_away
Jefferson Lerma,28,2018/2019,Midfielder,AFC Bournemouth,2511,1319,1192,2,0,2,0.07,0,0.15
Jeffrey Schlupp,29,2018/2019,Defender,Crystal Palace,1665,849,816,4,1,3,0.22,0.11,0.33
Jermain Defoe,40,2018/2019,Forward,AFC Bournemouth,21,0,21,0,0,0,0,0,0
Jesse Lingard,29,2018/2019,Midfielder,Manchester United,1668,963,705,4,1,3,0.22,0.09,0.38
João Moutinho,36,2018/2019,Midfielder,Wolverhampton Wanderers,3040,1532,1508,1,0,1,0.03,0,0.06
Joe Bennett,32,2018/2019,Defender,Cardiff City,2641,1142,1499,0,0,0,0,0,0
Joe Bryan,29,2018/2019,Defender,Fulham,2350,1214,1136,0,0,0,0,0,0
Joe Daniel Tupper,24,2018/2019,Goalkeeper,Crystal Palace,0,0,0,0,0,0,0,0,0
Joe Gomez,25,2018/2019,Defender,Liverpool,1060,493,567,0,0,0,0,0,0
Joe Hart,35,2018/2019,Goalkeeper,Burnley,1710,810,900,0,0,0,0,0,0
Joe Powell,24,2018/2019,Forward,West Ham United,0,0,0,0,0,0,0,0,0
Joe Ralls,29,2018/2019,Midfielder,Cardiff City,1959,847,1112,0,0,0,0,0,0
Joel Coleman,27,2018/2019,Goalkeeper,Huddersfield Town,90,0,90,0,0,0,0,0,0
Joel Matip,31,2018/2019,Defender,Liverpool,1532,811,721,1,1,0,0.06,0.11,0
Joel Ward,32,2018/2019,Defender,Crystal Palace,551,191,360,1,1,0,0.16,0.47,0
Johann Berg Guðmunds­son,32,2018/2019,Midfielder,Burnley,1748,847,901,3,0,3,0.15,0,0.3
John Ruddy,36,2018/2019,Goalkeeper,Wolverhampton Wanderers,90,90,0,0,0,0,0,0,0
John Stones,28,2018/2019,Defender,Manchester City,1762,968,794,0,0,0,0,0,0
Jon Gorenc Stankovič,26,2018/2019,Defender,Huddersfield Town,718,218,500,1,0,1,0.13,0,0.18
Jonas Lössl,33,2018/2019,Goalkeeper,Huddersfield Town,2777,1427,1350,0,0,0,0,0,0
Jonathan Hogg,33,2018/2019,Midfielder,Huddersfield Town,2377,1294,1083,0,0,0,0,0,0
Jonathan Walters,39,2018/2019,Forward,Burnley,0,0,0,0,0,0,0,0,0
Jonjo Shelvey,30,2018/2019,Midfielder,Newcastle United,944,403,541,1,0,1,0.1,0,0.17
Jonjoe Kenny,25,2018/2019,Defender,Everton,790,413,377,0,0,0,0,0,0
Jonny,28,2018/2019,Defender,Wolverhampton Wanderers,2780,1269,1511,1,1,0,0.03,0.07,0
Jonny Evans,34,2018/2019,Defender,Leicester City,1995,1074,921,1,1,0,0.05,0.08,0
Jordan Ayew,31,2018/2019,Forward,Crystal Palace,1186,616,570,1,0,1,0.08,0,0.16
Jordan Henderson,32,2018/2019,Midfielder,Liverpool,1983,925,1058,1,0,1,0.05,0,0.09
Jordan Pickford,28,2018/2019,Goalkeeper,Everton,3420,1710,1710,0,0,0,0,0,0
Jordon Ibe,26,2018/2019,Midfielder,AFC Bournemouth,795,334,461,1,0,1,0.11,0,0.2
Jorginho,30,2018/2019,Midfielder,Chelsea,3165,1621,1544,2,0,2,0.06,0,0.12
José Holebas,38,2018/2019,Defender,Watford,2394,1224,1170,3,2,1,0.11,0.15,0.08
Jose Izquierdo,30,2018/2019,Forward,Brighton & Hove Albion,794,365,429,0,0,0,0,0,0
Joselu,32,2018/2019,Forward,Newcastle United,586,308,278,2,2,0,0.31,0.58,0
Joseph Willock,23,2018/2019,Midfielder,Arsenal,64,0,64,0,0,0,0,0,0
Josh Benson,22,2018/2019,Midfielder,Burnley,0,0,0,0,0,0,0,0,0
Josh Knight,25,2018/2019,Defender,Leicester City,0,0,0,0,0,0,0,0,0
Josh Murphy,27,2018/2019,Forward,Cardiff City,1825,1123,702,3,2,1,0.15,0.16,0.13
Joshua King,30,2018/2019,Forward,AFC Bournemouth,2974,1563,1411,12,9,3,0.36,0.52,0.19
Joshua Sims,25,2018/2019,Midfielder,Southampton,209,139,70,0,0,0,0,0,0
Juan Foyth,24,2018/2019,Defender,Tottenham Hotspur,930,450,480,1,0,1,0.1,0,0.19
Juan Mata,34,2018/2019,Midfielder,Manchester United,1294,833,461,3,3,0,0.21,0.32,0
Julián Speroni,43,2018/2019,Goalkeeper,Crystal Palace,90,0,90,0,0,0,0,0,0
Juninho Bacuna,25,2018/2019,Midfielder,Huddersfield Town,1414,722,692,1,0,1,0.06,0,0.13
Junior Stanislas,32,2018/2019,Midfielder,AFC Bournemouth,1027,559,468,2,1,1,0.18,0.16,0.19
Jürgen Locadia,28,2018/2019,Forward,Brighton & Hove Albion,1227,590,637,2,2,0,0.15,0.31,0
Kadeem Harris,29,2018/2019,Midfielder,Cardiff City,366,133,233,1,1,0,0.25,0.68,0
Karl Darlow,32,2018/2019,Goalkeeper,Newcastle United,0,0,0,0,0,0,0,0,0
Karlan Ahearne-Grant,24,2018/2019,Forward,Huddersfield Town,874,331,543,4,2,2,0.41,0.54,0.33
Kasper Schmeichel,35,2018/2019,Goalkeeper,Leicester City,3420,1710,1710,0,0,0,0,0,0
Kayne Ramsey,22,2018/2019,Midfielder,Southampton,90,90,0,0,0,0,0,0,0
Kazaiah Sterling,23,2018/2019,Forward,Tottenham Hotspur,0,0,0,0,0,0,0,0,0
Kelechi Iheanacho,26,2018/2019,Forward,Leicester City,926,408,518,1,1,0,0.1,0.22,0
Kelland Watts,23,2018/2019,Midfielder,Newcastle United,0,0,0,0,0,0,0,0,0
Ken Sema,29,2018/2019,Midfielder,Watford,755,301,454,1,0,1,0.12,0,0.2
Kenneth Dahrup Zohorè,28,2018/2019,Forward,Cardiff City,746,388,358,1,0,1,0.12,0,0.25
Kepa Arrizabalaga,28,2018/2019,Goalkeeper,Chelsea,3240,1620,1620,0,0,0,0,0,0
Kevin De Bruyne,31,2018/2019,Midfielder,Manchester City,974,477,497,2,2,0,0.18,0.38,0
Kevin Long,32,2018/2019,Defender,Burnley,513,90,423,0,0,0,0,0,0
Kevin McDonald,33,2018/2019,Midfielder,Fulham,842,399,443,0,0,0,0,0,0
Ki Sung-yueng,33,2018/2019,Midfielder,Newcastle United,1302,824,478,0,0,0,0,0,0
Kieran Dowell,25,2018/2019,Midfielder,Everton,0,0,0,0,0,0,0,0,0
Kieran Trippier,32,2018/2019,Defender,Tottenham Hotspur,2278,1188,1090,1,1,0,0.04,0.08,0
Kiko Femenía,31,2018/2019,Midfielder,Watford,2045,1011,1034,1,1,0,0.04,0.09,0
Konstantinos Mavropanos,24,2018/2019,Defender,Arsenal,150,46,104,0,0,0,0,0,0
Kortney Hause,27,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0
Kurt Zouma,28,2018/2019,Defender,Everton,2610,1350,1260,2,1,1,0.07,0.07,0.07
Kyle Taylor,23,2018/2019,Midfielder,AFC Bournemouth,0,0,0,0,0,0,0,0,0
Kyle Walker,32,2018/2019,Defender,Manchester City,2777,1245,1532,1,1,0,0.03,0.07,0
Kyle Walker-Peters,25,2018/2019,Defender,Tottenham Hotspur,374,272,102,0,0,0,0,0,0
Laurent Depoitre,33,2018/2019,Forward,Huddersfield Town,1059,446,613,0,0,0,0,0,0
Laurent Koscielny,37,2018/2019,Defender,Arsenal,1328,484,844,3,2,1,0.2,0.37,0.11
Lazar Marković,28,2018/2019,Midfielder,Fulham,44,0,44,0,0,0,0,0,0
Leander Dendoncker,27,2018/2019,Midfielder,Wolverhampton Wanderers,1469,635,834,2,1,1,0.12,0.14,0.11
Leandro Bacuna,31,2018/2019,Midfielder,Cardiff City,554,302,252,0,0,0,0,0,0
Lee Grant,39,2018/2019,Goalkeeper,Manchester United,0,0,0,0,0,0,0,0,0
Lee Peltier,35,2018/2019,Defender,Cardiff City,1542,521,1021,0,0,0,0,0,0
Leighton Baines,37,2018/2019,Defender,Everton,376,141,235,0,0,0,0,0,0
Leon Balogun,34,2018/2019,Defender,Brighton & Hove Albion,591,309,282,1,1,0,0.15,0.29,0
Leonardo Bonatini Lohner Maia,28,2018/2019,Forward,Wolverhampton Wanderers,128,61,67,0,0,0,0,0,0
Leroy Sané,26,2018/2019,Midfielder,Manchester City,1867,1024,843,10,5,5,0.48,0.44,0.53
Lewis Cass,22,2018/2019,Defender,Newcastle United,0,0,0,0,0,0,0,0,0
Lewis Cook,25,2018/2019,Midfielder,AFC Bournemouth,721,381,340,0,0,0,0,0,0
Lewis Dunk,30,2018/2019,Defender,Brighton & Hove Albion,3153,1550,1603,2,0,2,0.06,0,0.11
Loïc Damour,31,2018/2019,Midfielder,Cardiff City,21,4,17,0,0,0,0,0,0
Loris Karius,29,2018/2019,Goalkeeper,Liverpool,0,0,0,0,0,0,0,0,0
Luca de la Torre,24,2018/2019,Midfielder,Fulham,0,0,0,0,0,0,0,0,0
Lucas Digne,29,2018/2019,Defender,Everton,2990,1511,1479,4,2,2,0.12,0.12,0.12
Lucas Moura,30,2018/2019,Midfielder,Tottenham Hotspur,2127,1040,1087,10,6,4,0.42,0.52,0.33
Lucas Perez,34,2018/2019,Forward,West Ham United,468,287,181,3,3,0,0.58,0.94,0
Lucas Torreira,26,2018/2019,Midfielder,Arsenal,2377,1231,1146,2,2,0,0.08,0.15,0
Luciano Vietto,28,2018/2019,Forward,Fulham,983,549,434,1,1,0,0.09,0.16,0
Luka Milivojević,31,2018/2019,Midfielder,Crystal Palace,3420,1710,1710,12,7,5,0.32,0.37,0.26
Luke Amos,25,2018/2019,Midfielder,Tottenham Hotspur,2,0,2,0,0,0,0,0,0
Luke Dreher,23,2018/2019,Midfielder,Crystal Palace,0,0,0,0,0,0,0,0,0
Luke Shaw,27,2018/2019,Defender,Manchester United,2592,1170,1422,1,1,0,0.03,0.08,0
Lys Mousset,26,2018/2019,Forward,AFC Bournemouth,345,96,249,1,0,1,0.26,0,0.36
Maarten Stekelenburg,40,2018/2019,Goalkeeper,Everton,0,0,0,0,0,0,0,0,0
Mamadou Sakho,32,2018/2019,Defender,Crystal Palace,2417,1170,1247,0,0,0,0,0,0
Manolo Gabbiadini,30,2018/2019,Forward,Southampton,470,253,217,1,1,0,0.19,0.36,0
Manuel Lanzini,29,2018/2019,Midfielder,West Ham United,688,367,321,1,0,1,0.13,0,0.28
Marc Albrighton,32,2018/2019,Midfielder,Leicester City,1626,797,829,2,1,1,0.11,0.11,0.11
Marc Guehi,22,2018/2019,Defender,Chelsea,0,0,0,0,0,0,0,0,0
Marc Navarro Ceciliano,27,2018/2019,Defender,Watford,84,0,84,0,0,0,0,0,0
Marc Pugh,35,2018/2019,Midfielder,AFC Bournemouth,0,0,0,0,0,0,0,0,0
Marcos Alonso,31,2018/2019,Defender,Chelsea,2761,1338,1423,2,1,1,0.07,0.07,0.06
Marcus Bettinelli,30,2018/2019,Goalkeeper,Fulham,630,270,360,0,0,0,0,0,0
Marcus Rashford,25,2018/2019,Forward,Manchester United,2362,1293,1069,10,4,6,0.38,0.28,0.51
Mario Lemina,29,2018/2019,Midfielder,Southampton,1615,763,852,1,0,1,0.06,0,0.11
Mark Noble,35,2018/2019,Midfielder,West Ham United,2308,1147,1161,5,2,3,0.19,0.16,0.23
Mark Travers,23,2018/2019,Goalkeeper,AFC Bournemouth,180,90,90,0,0,0,0,0,0
Marko Arnautović,33,2018/2019,Forward,West Ham United,2000,1083,917,10,7,3,0.45,0.58,0.29
Markus Suttner,35,2018/2019,Defender,Brighton & Hove Albion,0,0,0,0,0,0,0,0,0
Marouane Fellaini,34,2018/2019,Midfielder,Manchester United,744,217,527,0,0,0,0,0,0
Martin Dúbravka,33,2018/2019,Goalkeeper,Newcastle United,3420,1710,1710,0,0,0,0,0,0
Martin Kelly,32,2018/2019,Defender,Crystal Palace,1110,660,450,0,0,0,0,0,0
Martín Montoya,31,2018/2019,Defender,Brighton & Hove Albion,2166,1176,990,0,0,0,0,0,0
Mason Greenwood,21,2018/2019,Midfielder,Manchester United,115,105,10,0,0,0,0,0,0
Mason Holgate,26,2018/2019,Defender,Everton,407,270,137,0,0,0,0,0,0
Matěj Vydra,30,2018/2019,Forward,Burnley,311,91,220,1,1,0,0.29,0.99,0
Mateo Kovačić,28,2018/2019,Midfielder,Chelsea,1743,968,775,0,0,0,0,0,0
Mathew Ryan,30,2018/2019,Goalkeeper,Brighton & Hove Albion,3060,1530,1530,0,0,0,0,0,0
Mathias Jørgensen,32,2018/2019,Defender,Huddersfield Town,2148,1248,900,3,1,2,0.13,0.07,0.2
Matt Butcher,25,2018/2019,Midfielder,AFC Bournemouth,0,0,0,0,0,0,0,0,0
Matt Doherty,30,2018/2019,Defender,Wolverhampton Wanderers,3147,1557,1590,4,1,3,0.11,0.06,0.17
Matt Ritchie,33,2018/2019,Midfielder,Newcastle United,2940,1557,1383,2,1,1,0.06,0.06,0.07
Matt Targett,27,2018/2019,Defender,Southampton,1185,483,702,1,1,0,0.08,0.19,0
Matteo Darmian,32,2018/2019,Defender,Manchester United,443,353,90,0,0,0,0,0,0
Matteo Guendouzi,23,2018/2019,Midfielder,Arsenal,2143,971,1172,0,0,0,0,0,0
Matthew Connolly,35,2018/2019,Defender,Cardiff City,0,0,0,0,0,0,0,0,0
Matthew Lowton,33,2018/2019,Defender,Burnley,1748,810,938,0,0,0,0,0,0
Matty Daly,21,2018/2019,Midfielder,Huddersfield Town,73,49,24,0,0,0,0,0,0
Max Harrison Sanders,23,2018/2019,Midfielder,Brighton & Hove Albion,0,0,0,0,0,0,0,0,0
Max Kilman,25,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0
Max Meyer,27,2018/2019,Midfielder,Crystal Palace,1414,718,696,1,0,1,0.06,0,0.13
Maxime Le Marchand,33,2018/2019,Defender,Fulham,2251,1171,1080,0,0,0,0,0,0
Maya Yoshida,34,2018/2019,Defender,Southampton,1520,800,720,0,0,0,0,0,0
Mesut Özil,34,2018/2019,Midfielder,Arsenal,1741,1139,602,5,4,1,0.26,0.32,0.15
Michael Keane,29,2018/2019,Defender,Everton,2970,1350,1620,1,0,1,0.03,0,0.06
Michael Obafemi,22,2018/2019,Forward,Southampton,134,64,70,1,0,1,0.67,0,1.29
Michail Antonio,32,2018/2019,Midfielder,West Ham United,2099,998,1101,6,4,2,0.26,0.36,0.16
Michel Vorm,39,2018/2019,Goalkeeper,Tottenham Hotspur,180,90,90,0,0,0,0,0,0
Michy Batshuayi,29,2018/2019,Forward,Crystal Palace,756,368,388,5,2,3,0.6,0.49,0.7
Miguel Almirón,28,2018/2019,Midfielder,Newcastle United,763,405,358,0,0,0,0,0,0
Miguel Ángel Britos Cabrera,37,2018/2019,Defender,Watford,185,13,172,0,0,0,0,0,0
Mohamed Diamé,35,2018/2019,Midfielder,Newcastle United,2165,960,1205,0,0,0,0,0,0
Mohamed Elneny,30,2018/2019,Midfielder,Arsenal,381,214,167,0,0,0,0,0,0
Mohamed Elyounoussi,28,2018/2019,Midfielder,Southampton,790,393,397,0,0,0,0,0,0
Mohamed Salah,30,2018/2019,Forward,Liverpool,3262,1692,1570,22,13,9,0.61,0.69,0.52
Morgan Gibbs-White,22,2018/2019,Midfielder,Wolverhampton Wanderers,647,426,221,0,0,0,0,0,0
Morgan Schneiderlin,32,2018/2019,Midfielder,Everton,833,473,360,0,0,0,0,0,0
Moussa Dembele,35,2018/2019,Midfielder,Tottenham Hotspur,516,161,355,0,0,0,0,0,0
Moussa Sissoko,33,2018/2019,Midfielder,Tottenham Hotspur,2336,1187,1149,0,0,0,0,0,0
N'Golo Kanté,31,2018/2019,Midfielder,Chelsea,3096,1579,1517,4,2,2,0.12,0.11,0.12
Naby Keïta,27,2018/2019,Midfielder,Liverpool,1392,729,663,2,1,1,0.13,0.12,0.14
Nacho Monreal,36,2018/2019,Defender,Arsenal,1861,781,1080,1,1,0,0.05,0.12,0
Nampalys Mendy,30,2018/2019,Midfielder,Leicester City,2088,1006,1082,0,0,0,0,0,0
Nathan Aké,27,2018/2019,Defender,AFC Bournemouth,3412,1710,1702,4,3,1,0.11,0.16,0.05
Nathan Holland,24,2018/2019,Midfielder,West Ham United,0,0,0,0,0,0,0,0,0
Nathan Redmond,28,2018/2019,Midfielder,Southampton,3276,1633,1643,6,4,2,0.16,0.22,0.11
Nathaniel Chalobah,27,2018/2019,Midfielder,Watford,266,67,199,0,0,0,0,0,0
Nathaniel Clyne,31,2018/2019,Defender,AFC Bournemouth,1254,684,570,0,0,0,0,0,0
Nathaniel Mendez-Laing,30,2018/2019,Midfielder,Cardiff City,984,442,542,4,0,4,0.37,0,0.66
Neeskens Kebano,30,2018/2019,Midfielder,Fulham,103,74,29,0,0,0,0,0,0
Neil Leonard Dula Etheridge,32,2018/2019,Goalkeeper,Cardiff City,3420,1710,1710,0,0,0,0,0,0
Nemanja Matić,34,2018/2019,Midfielder,Manchester United,2441,1051,1390,1,1,0,0.04,0.09,0
Nicolas Otamendi,34,2018/2019,Defender,Manchester City,1233,682,551,0,0,0,0,0,0
Nikola Tavares,23,2018/2019,Defender,Crystal Palace,0,0,0,0,0,0,0,0,0
Nnamdi Ofoborh,22,2018/2019,Midfielder,AFC Bournemouth,0,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,25,2018/2019,Midfielder,Manchester City,1153,613,540,0,0,0,0,0,0
Oliver Skipp,22,2018/2019,Midfielder,Tottenham Hotspur,216,191,25,0,0,0,0,0,0
Olivier Giroud,36,2018/2019,Forward,Chelsea,832,446,386,2,1,1,0.22,0.2,0.23
Oriol Romeu,31,2018/2019,Midfielder,Southampton,2140,1110,1030,1,1,0,0.04,0.08,0
Oumar Niasse,32,2018/2019,Forward,Cardiff City,998,435,563,0,0,0,0,0,0
Pablo Zabaleta,37,2018/2019,Defender,West Ham United,2092,1216,876,0,0,0,0,0,0
Pape N'Diaye Souaré,32,2018/2019,Defender,Crystal Palace,0,0,0,0,0,0,0,0,0
Pascal Groß,31,2018/2019,Midfielder,Brighton & Hove Albion,1878,993,885,3,2,1,0.14,0.18,0.1
Patrick van Aanholt,32,2018/2019,Defender,Crystal Palace,3198,1703,1495,3,2,1,0.08,0.11,0.06
Paul Dummett,31,2018/2019,Defender,Newcastle United,1986,979,1007,0,0,0,0,0,0
Paul Pogba,29,2018/2019,Midfielder,Manchester United,3011,1517,1494,13,10,3,0.39,0.59,0.18
Paulo Gazzaniga,30,2018/2019,Goalkeeper,Tottenham Hotspur,270,0,270,0,0,0,0,0,0
Pedro Obiang,30,2018/2019,Midfielder,West Ham United,1121,609,512,0,0,0,0,0,0
Pedro Rodriguez,35,2018/2019,Midfielder,Chelsea,1780,958,822,8,6,2,0.4,0.56,0.22
Peter Crouch,41,2018/2019,Forward,Burnley,86,56,30,0,0,0,0,0,0
Petr Čech,40,2018/2019,Goalkeeper,Arsenal,585,315,270,0,0,0,0,0,0
Phil Bardsley,37,2018/2019,Defender,Burnley,1672,900,772,0,0,0,0,0,0
Phil Foden,22,2018/2019,Midfielder,Manchester City,327,279,48,1,1,0,0.28,0.32,0
Phil Jagielka,40,2018/2019,Defender,Everton,329,95,234,1,1,0,0.27,0.95,0
Phil Jones,30,2018/2019,Defender,Manchester United,1263,652,611,0,0,0,0,0,0
Philip Billing,26,2018/2019,Midfielder,Huddersfield Town,2192,1106,1086,2,1,1,0.08,0.08,0.08
Philippe Sandler,25,2018/2019,Defender,Manchester City,0,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,33,2018/2019,Forward,Arsenal,2731,1418,1313,22,13,9,0.73,0.83,0.62
Pierre-Emile Højbjerg,27,2018/2019,Midfielder,Southampton,2764,1416,1348,4,2,2,0.13,0.13,0.13
Rachid Ghezzal,30,2018/2019,Forward,Leicester City,738,455,283,1,1,0,0.12,0.2,0
Rafael Euclides Soares Camacho,22,2018/2019,Midfielder,Liverpool,0,0,0,0,0,0,0,0,0
Raheem Sterling,27,2018/2019,Forward,Manchester City,2777,1256,1521,17,12,5,0.55,0.86,0.3
Rajiv van La Parra,31,2018/2019,Midfielder,Huddersfield Town,407,168,239,0,0,0,0,0,0
Ramadan Sobhi,25,2018/2019,Forward,Huddersfield Town,75,30,45,0,0,0,0,0,0
Raúl Jiménez,31,2018/2019,Forward,Wolverhampton Wanderers,3124,1648,1476,13,8,5,0.37,0.44,0.3
Rhys Healey,27,2018/2019,Forward,Cardiff City,49,17,32,0,0,0,0,0,0
Ricardo Pereira,29,2018/2019,Defender,Leicester City,3125,1526,1599,2,2,0,0.06,0.12,0
Richarlison,25,2018/2019,Forward,Everton,2679,1283,1396,13,7,6,0.44,0.49,0.39
Riyad Mahrez,31,2018/2019,Midfielder,Manchester City,1339,647,692,7,1,6,0.47,0.14,0.78
Rob Holding,27,2018/2019,Defender,Arsenal,807,501,306,0,0,0,0,0,0
Robbie Brady,30,2018/2019,Midfielder,Burnley,715,390,325,0,0,0,0,0,0
Robert Kenedy Nunes do Nascimento,26,2018/2019,Midfielder,Newcastle United,1344,611,733,1,0,1,0.07,0,0.12
Robert Snodgrass,35,2018/2019,Midfielder,West Ham United,2222,1108,1114,2,1,1,0.08,0.08,0.08
Roberto Firmino,31,2018/2019,Forward,Liverpool,2620,1347,1273,12,7,5,0.41,0.47,0.35
Roberto Pereyra,31,2018/2019,Forward,Watford,2825,1467,1358,6,5,1,0.19,0.31,0.07
Romain Saïss,32,2018/2019,Midfielder,Wolverhampton Wanderers,1144,544,600,2,1,1,0.16,0.17,0.15
Romelu Lukaku,29,2018/2019,Forward,Manchester United,2130,982,1148,12,4,8,0.51,0.37,0.63
Rondon,33,2018/2019,Forward,Newcastle United,2609,1343,1266,11,6,5,0.38,0.4,0.36
Ross Barkley,28,2018/2019,Midfielder,Chelsea,1241,432,809,3,1,2,0.22,0.21,0.22
Ruben Loftus-Cheek,26,2018/2019,Midfielder,Chelsea,983,507,476,6,3,3,0.55,0.53,0.57
Rúben Neves,25,2018/2019,Midfielder,Wolverhampton Wanderers,3009,1451,1558,4,3,1,0.12,0.19,0.06
Ruben Vinagre,23,2018/2019,Defender,Wolverhampton Wanderers,703,514,189,0,0,0,0,0,0
Rui Patrício,34,2018/2019,Goalkeeper,Wolverhampton Wanderers,3330,1620,1710,0,0,0,0,0,0
Ryan Bennett,32,2018/2019,Defender,Wolverhampton Wanderers,3060,1710,1350,1,1,0,0.03,0.05,0
Ryan Bertrand,33,2018/2019,Defender,Southampton,2160,1170,990,1,1,0,0.04,0.08,0
Ryan Fraser,28,2018/2019,Midfielder,AFC Bournemouth,3173,1605,1568,7,5,2,0.2,0.28,0.11
Ryan Fredericks,30,2018/2019,Midfielder,West Ham United,1085,404,681,1,1,0,0.08,0.22,0
Ryan Giles,22,2018/2019,Midfielder,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0
Ryan Guno Babel,35,2018/2019,Forward,Fulham,1260,668,592,5,3,2,0.36,0.4,0.3
Ryan Schofield,22,2018/2019,Goalkeeper,Huddersfield Town,0,0,0,0,0,0,0,0,0
Ryan Sessegnon,22,2018/2019,Defender,Fulham,2298,1095,1203,2,1,1,0.08,0.08,0.07
Sadio Mané,30,2018/2019,Forward,Liverpool,3086,1643,1443,22,18,4,0.64,0.99,0.25
Sam Gallagher,27,2018/2019,Forward,Southampton,30,7,23,0,0,0,0,0,0
Sam Surridge,24,2018/2019,Forward,AFC Bournemouth,11,0,11,0,0,0,0,0,0
Sam Vokes,33,2018/2019,Forward,Burnley,913,455,458,3,2,1,0.3,0.4,0.2
Sam Woods,24,2018/2019,Defender,Crystal Palace,0,0,0,0,0,0,0,0,0
Samir Nasri,35,2018/2019,Midfielder,West Ham United,246,102,144,0,0,0,0,0,0
Sandro Ramirez,27,2018/2019,Forward,Everton,0,0,0,0,0,0,0,0,0
Scott Dann,35,2018/2019,Defender,Crystal Palace,660,360,300,0,0,0,0,0,0
Scott McTominay,25,2018/2019,Midfielder,Manchester United,861,345,516,2,0,2,0.21,0,0.35
Sead Kolašinac,29,2018/2019,Defender,Arsenal,1891,1127,764,0,0,0,0,0,0
Séamus Coleman,34,2018/2019,Defender,Everton,2560,1333,1227,2,2,0,0.07,0.14,0
Sean Longstaff,25,2018/2019,Midfielder,Newcastle United,688,355,333,1,1,0,0.13,0.25,0
Sean Morrison,31,2018/2019,Defender,Cardiff City,3040,1600,1440,1,0,1,0.03,0,0.06
Sebastian Prödl,35,2018/2019,Defender,Watford,13,0,13,0,0,0,0,0,0
Serge Aurier,29,2018/2019,Defender,Tottenham Hotspur,564,136,428,0,0,0,0,0,0
Sergio Aguero,34,2018/2019,Forward,Manchester City,2480,1125,1355,21,15,6,0.76,1.2,0.4
Sergio Rico,29,2018/2019,Goalkeeper,Fulham,2610,1350,1260,0,0,0,0,0,0
Sergio Romero,35,2018/2019,Goalkeeper,Manchester United,0,0,0,0,0,0,0,0,0
Shane Duffy,30,2018/2019,Defender,Brighton & Hove Albion,3088,1558,1530,5,2,3,0.15,0.12,0.18
Shane Long,35,2018/2019,Forward,Southampton,1269,629,640,5,3,2,0.35,0.43,0.28
Shinji Okazaki,36,2018/2019,Forward,Leicester City,269,126,143,0,0,0,0,0,0
Shkodran Mustafi,30,2018/2019,Defender,Arsenal,2617,1263,1354,2,0,2,0.07,0,0.13
Simon Francis,37,2018/2019,Defender,AFC Bournemouth,1226,675,551,0,0,0,0,0,0
Simon Mignolet,34,2018/2019,Goalkeeper,Liverpool,0,0,0,0,0,0,0,0,0
Sokratis Papastathopoulos,34,2018/2019,Defender,Arsenal,2199,1119,1080,1,0,1,0.04,0,0.08
Solly March,28,2018/2019,Midfielder,Brighton & Hove Albion,2473,1153,1320,1,1,0,0.04,0.08,0
Souleymane Bamba,37,2018/2019,Defender,Cardiff City,2475,1260,1215,4,2,2,0.15,0.14,0.15
Stefan Marius Johansen,31,2018/2019,Midfielder,Fulham,412,130,282,0,0,0,0,0,0
Stefano Okaka,33,2018/2019,Forward,Watford,22,9,13,0,0,0,0,0,0
Stephan Lichtsteiner,38,2018/2019,Defender,Arsenal,940,408,532,0,0,0,0,0,0
Stephen Ward,37,2018/2019,Defender,Burnley,230,74,156,0,0,0,0,0,0
Steve Cook,31,2018/2019,Defender,AFC Bournemouth,2787,1350,1437,1,0,1,0.03,0,0.06
Steve Mounié,28,2018/2019,Forward,Huddersfield Town,1777,1009,768,2,2,0,0.1,0.18,0
Steven Davis,37,2018/2019,Midfielder,Southampton,96,6,90,0,0,0,0,0,0
Steven Defour,34,2018/2019,Midfielder,Burnley,452,172,280,0,0,0,0,0,0
Stuart Armstrong,30,2018/2019,Midfielder,Southampton,1432,469,963,3,1,2,0.19,0.19,0.19
Sullay Kaikai,27,2018/2019,Midfielder,Crystal Palace,0,0,0,0,0,0,0,0,0
Tahith Chong,22,2018/2019,Forward,Manchester United,36,0,36,0,0,0,0,0,0
Terence Kongolo,28,2018/2019,Defender,Huddersfield Town,2722,1405,1317,1,0,1,0.03,0,0.07
Theo Walcott,33,2018/2019,Forward,Everton,2122,1114,1008,5,3,2,0.21,0.24,0.18
Tim Ream,35,2018/2019,Defender,Fulham,2051,943,1108,0,0,0,0,0,0
Timothy Eyoma,22,2018/2019,Defender,Tottenham Hotspur,0,0,0,0,0,0,0,0,0
Timothy Fosu-Mensah,24,2018/2019,Defender,Fulham,795,499,296,0,0,0,0,0,0
Toby Alderweireld,33,2018/2019,Defender,Tottenham Hotspur,2924,1549,1375,0,0,0,0,0,0
Tom Cairney,31,2018/2019,Midfielder,Fulham,2198,1107,1091,1,1,0,0.04,0.08,0
Tom Cleverley,33,2018/2019,Midfielder,Watford,470,102,368,1,0,1,0.19,0,0.24
Tom Davies,24,2018/2019,Midfielder,Everton,975,520,455,0,0,0,0,0,0
